
2014-05-28 16:30:41 ;;;;;;172.31.6.110  B4-1:1
2014-05-28 16:30:41 ;;;;;;172.31.6.110  B4-2:1
2014-05-28 16:30:41 ;;;;;;172.31.6.110  B4-3:1
2014-05-28 16:30:41 ;;;;;;172.31.6.110  B4-4:1
2014-05-28 16:30:41 ;;;;;;172.31.6.110  B4-5:1
2014-05-28 16:30:41 ;;;;;;172.31.6.110  B4-6:1
2014-05-28 17:37:20 ;;;;;;172.31.6.110  A1-2
2014-05-28 17:37:41 ;;;;;;172.31.6.110  B10-1:1
2014-05-28 17:37:41 ;;;;;;172.31.6.110  B10-2:1
2014-05-28 17:37:41 ;;;;;;172.31.6.110  B10-3:1
2014-05-28 17:37:52 ;;;;;;172.31.6.110  D5-2
2014-05-28 17:38:02 ;;;;;;172.31.6.110  C1-2
2014-05-28 17:38:22 ;;;;;;172.31.6.110  C2-0
